text;label
Обращаемся с просьбой предоставить информацию о текущем состоянии нашего кредитного договора № 12345 от 01.01.2023, включая текущий остаток задолженности и график платежей. Срок предоставления — до конца текущего рабочего дня.;Запрос информации/документов
Просим предоставить выписку по нашему корпоративному счёту за период с 01.01.2024 по 31.12.2024, включая все операции и остатки на начало и конец каждого месяца. Также просим направить копию действующего тарифного плана по расчётно-кассовому обслуживанию.;Запрос информации/документов
В адрес вашего Банка обращаемся с запросом предоставить детализацию операций по нашей банковской карте за последний месяц. Просим также указать все комиссии и начисления за этот период. Срок предоставления — в течение трёх рабочих дней с момента получения данного письма.;Запрос информации/документов
Просим предоставить информацию о доступных дистанционных сервисах вашего Банка, включая их функционал и условия использования. Также просим направить копии внутренних регламентов, регулирующих предоставление этих услуг. Срок предоставления — до конца текущей недели.;Запрос информации/документов
Обращаемся с просьбой предоставить отчёт о состоянии нашего депозитного вклада за последний квартал. Просим также указать все начисленные проценты и условия их выплаты. Срок предоставления — в течение пяти рабочих дней с момента получения данного письма.;Запрос информации/документов
Просим предоставить информацию о текущем состоянии нашего расчётного счёта, включая все операции и остатки на начало и конец каждого месяца за последний квартал. Также просим направить копию действующего договора банковского обслуживания. Срок предоставления — до конца текущей недели.;Запрос информации/документов
В адрес вашего Банка обращаемся с запросом предоставить детализацию всех комиссий и начислений по нашему расчётному счёту за последний месяц. Просим также указать основания для каждого начисления. Срок предоставления — в течение трёх рабочих дней с момента получения данного письма.;Запрос информации/документов
Просим предоставить информацию о доступных кредитных продуктах вашего Банка, включая процентные ставки, сроки и условия кредитования. Также просим направить копии внутренних регламентов, регулирующих предоставление этих продуктов. Срок предоставления — до конца текущей недели.;Запрос информации/документов
Обращаемся с просьбой предоставить отчёт о состоянии нашего инвестиционного счёта за последний квартал. Просим также указать все операции и начисления за этот период. Срок предоставления — в течение пяти рабочих дней с момента получения данного письма.;Запрос информации/документов
Просим предоставить информацию о текущем состоянии нашего валютного счёта, включая все операции и остатки на начало и конец каждого месяца за последний квартал. Также просим направить копию действующего договора валютного обслуживания. Срок предоставления — до конца текущей недели.;Запрос информации/документов
